sentence_idx,discourse_type,source,article_title
1,Main Idea,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
2,Background,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
3,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
4,Background,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
5,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
6,Background,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
7,Other,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
8,Background,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
9,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
10,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
11,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
12,Background,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
13,Example,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
14,Example,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
15,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
16,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
17,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
18,Background,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
19,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
20,Example,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
21,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
22,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
23,Example,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
24,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
25,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
26,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
27,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
28,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
29,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
30,Background,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
31,Transition,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
32,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
33,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
34,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
35,Other,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
36,Transition,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
37,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
38,Counterpoint,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
39,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
40,Transition,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
41,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
42,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
43,Example,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
44,Counterpoint,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
45,Counterpoint,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
46,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
47,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
48,Descriptive Color,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
49,Descriptive Color,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
50,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
51,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
52,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
53,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
54,Transition,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
55,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
56,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
57,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
58,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
59,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
60,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
61,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
62,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
63,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
64,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
65,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
66,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
67,Main Idea,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
68,Main Idea,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
69,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
70,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
71,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
72,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
73,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
74,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
75,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
76,Other,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
77,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
78,Explanation,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
79,Descriptive Color,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
1,Main Idea,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
2,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
3,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
4,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
5,Counterpoint,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
6,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
7,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
8,Background,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
9,Background,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
10,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
11,Background,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
12,Example,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
13,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
14,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
15,Example,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
16,Background,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
17,Background,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
18,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
19,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
20,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
21,Main Idea,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
22,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
23,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
24,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
25,Background,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
26,Other,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
27,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
28,Main Idea,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
29,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
30,Example,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
31,Example,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
32,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
33,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
34,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
35,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
36,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
37,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
38,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
39,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
40,Main Idea,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
41,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
42,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
43,Main Idea,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
44,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
45,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
46,Main Idea,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
47,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
48,Example,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
49,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
50,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
51,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
52,Example,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
53,Background,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
54,Background,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
55,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
56,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
57,Counterpoint,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
58,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
59,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
60,Counterpoint,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
61,Counterpoint,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
62,Human Perspective,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
63,Counterpoint,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
64,Background,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
65,Example,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
66,Example,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
67,Example,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
68,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
69,Transition,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
70,Main Idea,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
71,Main Idea,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
72,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
73,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
74,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
75,Transition,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
76,Background,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
77,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
78,Transition,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
79,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
80,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
81,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
82,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
83,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
84,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
85,Main Idea,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
86,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
87,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
88,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
89,Counterpoint,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
90,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
91,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
92,Transition,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
93,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
94,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
95,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
96,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
97,Other,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
98,Supporting Evidence,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
99,Explanation,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
100,Main Idea,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
101,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
102,Implications,deep_research,The Enduring Allure and Strategic Significance of Panda Diplomacy
1,Main Idea,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
2,Background,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
3,Background,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
4,Cannot Determine,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
5,Main Idea,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
6,Main Idea,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
7,Explanation,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
8,Explanation,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
9,Explanation,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
10,Implications,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
11,Implications,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
12,Explanation,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
13,Main Idea,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
14,Cannot Determine,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
15,Background,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
16,Transition,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
17,Background,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
18,Background,deep_research,"The Russia-Ukraine Conflict: 2022 Onwards – Genesis, Key Developments, and Global Ramifications"
