sentence_idx,discourse_type,source,article_title
1,Introduction,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
2,Explanatory Detail,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
3,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
4,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
5,Explanatory Detail,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
6,Historical Background,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
7,Summary,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
8,Limitations/Caveats,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
9,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
10,Methodology,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
11,Clarification,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
12,Historical Background,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
13,Explanatory Detail,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
14,Example,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
15,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
16,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
17,Explanatory Detail,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
18,Main Idea,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
19,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
20,Descriptive Color,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
21,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
22,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
23,Example,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
24,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
25,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
26,Explanatory Detail,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
27,Explanatory Detail,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
28,Explanatory Detail,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
29,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
30,Transition,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
31,Summary,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
32,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
33,Supporting Evidence,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
34,Implications,deep_research,A Collision of Titans: The Turbulent Saga of Elon Musk and Donald Trump
